Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y,Query Descriptor,Train Descriptor,Query Image ID,Train Image ID
1221,230,50.0,326,296,341,278,1111000000111110010101101100010101110101111000101011101100011110111011100110011001011001101100011001011010011101111100111111100111101000110000101001000010000110111101010110100101011011010111000111110100011001111100001001000101111101110111110101000110100111,1011000000111011101101001000010111110101101100101111001100111110010011100110011001011001101100111001001000001101111001111111100111101000111100111001000010000110111101101110000001101110111111000111110100111001110011001111000101111110111011101101000110110111,aruco_000,aruco_005
1288,405,50.0,294,437,365,361,0110000011000011101111010000111001101101101011001001101001100110000001111011010000110011110100110010111000010000010011110010000111101010111100010000100111000110100101001011110101001100111101010001100110100010000010111100000010011011000010011111011001011101,0111010011000011100110010100111000100001100011011001101001100110100001111011010100010001110100110010110000110000000010010011000001100010111110010000010110000111100101001010110101101100110100010101101100110010110010010100000010110011110011111110111001101101,aruco_000,aruco_005
1034,110,51.0,107,492,440,257,1100001011001100001001000111001011101000110001110001100001011001001100110001010011010010101111101000111001010010011101000000111001100100011011001110011111000100100101010110101011100001000111011111101100000110101001100100010001010101011011011101000111111110,1100011011111100011001010111001010001010110001110001110001010100101100100101010111010010101111001010111001010010011101000101011001000100011010001110111110000100000100010110101101110101100111011101100100000111000101100100010011010000011000011001111011010010,aruco_000,aruco_005
1240,298,51.0,194,412,309,377,1010010101010011000000101111100001001101000000101001001110101110111011001100100000001101111100010110001110001011010011011010100110011010000100001001001110001000001001110000010010010110001000000010110110101110100111010101001111110100010011001000100100110101,0010110101010011111000100101000001100011001000101001001111011111011011001100100000101111101100011110001010001011010111111010100110011010000100001001001111001010001101100001010100010101001000101000100111101100100110100101101110010100001011101000110100100101,aruco_000,aruco_005
1276,386,51.0,330,294,342,278,0010100101001010111000000110100000000111011000101100101101000111101010011110001000000110001100110100000010000111001111101111010110010000111010011101101111100010111111000010000001111101100011010101111110111111111110001111110111011110011000110100100000100100,1000110101001011111000000000100001100110001000101100101101010111101011011110001000000011010000110100000000110111011111100000100110010000010110111001001111111000111111010011000101010101100001010001111110111011101110001010010101001110011000111100100000100100,aruco_000,aruco_005
1182,281,52.0,413,411,420,312,0101110110010011010100011011111111111111011000011111000010110111111010011011010000000101000100011101001001101100110110001110100111110101101110111011010010111111001010100101010101011110011110111011010001101101000110010100000110110101011000110110011100100100,0101100110010011010100111010001110111101001001010011101001110011110010111011110001001100000101011101001101100110110110001110100111100100101100111011010110110011001010010111000101011100011110110111010001101111000111110100011110110001001110101110001100110100,aruco_000,aruco_005
1194,251,52.0,214,438,325,386,0011000101101011011110011001010111110100111100101100111011010000010111110010100110101010010011001001010010101011011010100011000000010011010001010000100000100100001110101000010100000100011001000111001110110000000100111001011010101010110010101110111110000111,0011000101101001111110011111010100110100111000100010110010010110010111110011101010101011001011001001010110101011001010101011000000010111110011010100100001101011001110111000011100000110001001100100101001011000101100111011001010101010100010100010111110000111,aruco_000,aruco_005
1231,338,53.0,385,173,382,344,1010110001001011010100001110010010100110111000101100101100110010010010011010000110100001100100101111100011000110001110110000001100111111110111111101100001110110111110000011001110000100101011111100100000101110101001100110110010111100110011001110011011110010,1010110101101011110100001110010010100110111000111100100101110010100011001010110110100111100101000100110111000010001010100000001000011100110110111000000100011110111110010010001111000011101001110111100000101110101001100110000110111100110010001000011011110110,aruco_000,aruco_005
295,124,54.0,95,202,529,332,1100000011110111010101110010001001111111001000010101010110010001010010001000010101000000101100011101001100111110010110101000011110100000001101001011010000000000000100101010100000010110010001000011001001100010011000001010010100111000010110101011011110110011,0100000011111111010101110010001001111111101110010101010111110000100011001010111001000010111000010101000100110100011110111001011110100010101101011011010010000000000111001010101000110101110001010011101000101110001110111111010100101000010110111010001110110111,aruco_000,aruco_005
1199,264,54.0,147,289,249,331,1111110010100011010100110111101000100101001000100011100111110011110110010010101000100101100001111011100010100010100010100001000010011110111110111100011000111001001000011100001100010000101011011100100001010000101111010010010110101101101100000110101011000100,0111000111110011010110101111101000100101001001100111000011110011110000011111101010100101010001110011110010100000100010110111000010011100101110001110011100111011000010011000101010010000101011011100100001001110000111010010010110101100110110101110101010010100,aruco_000,aruco_005
747,358,55.0,215,512,135,226,0000000001100111110000010010110001011101011000000011111011000001110010001010101000000100101000011100000100111001100110101101010110100000000000001101010100001100000010111000001001011101010000101001000010001000000110011011010111111000010000100010100110010111,0000000001100011110000110011110001011101011010000101110010000000110010001010101001000100100000111001000100111011110111100001010010110100100010010101010000100100001010111100010000010111011000010011010000111010011110011011010010101000010000110010110101010111,aruco_000,aruco_005
1038,113,55.0,131,468,339,252,1000111111101000000010010010100110110010000101010000010110110010001111100001010110111010110011010000110001011011000100000011110000000111010101011100111001101001000011100010101100001000101001000011001111100000000000111011001000000010010110001010101010010010,1011100111011100110011010000100111110010000101100010011110110010001111000000011110111010110001010000100001011001000100100011010001100111010101011110111001110000000011100000001100011100101001111010001111000010010100111011000100010111000101101011001110000010,aruco_000,aruco_005
1031,68,56.0,272,82,324,440,1100000001111000000110100110001000001101001111000101000100100000010000011110001101101101010000000111010100100110001100110101000111110010111001001011110011000010110101000011100010001000000000000001100010100011010000001011110000101001111111110111100000010000,1100110110111000000000111000001000011111001111010101001101100010010000001010111101111001000010000101010000000111011101100111000111110000111001001001110111100110110111001010100000001000001000010011110010100010010000001111000000101000110101101011100000010000,aruco_000,aruco_005
1249,355,56.0,427,388,418,297,0111111000111000011101001000011000000111000101110110011100111101100001100110100011111101100010110011110011110000110001001101111000100110011011101101101001100110011000111101111001111010011001101110101001011010011001101011100100101011101011000011111011110010,1111111010100001001101101010011000100111001101000110001110011111110000101110101011110101101010110010111010101100100010001101111010010110101010101101100001100111011000011101111011011110111010101111000001010010011000101011100100101011101111000110111011110111,aruco_000,aruco_005
181,509,57.0,272,145,484,330,0000000000100111110000010010010001011101001000000111011010000001110010101011101000100100100000101100000100111011110111100101010110100000000000001101010100001101000010111000000001001101010000101010000010011000010110011111010111111000000001100010100100000001,0000000001100111110100010011110001011101001010000101110110000000110010001010111001100100001000101101000100111110110110100001010110100010100010011011010000100110000010111001010000000111011000010011000001111000011110001001010110101000010100101010010100000001,aruco_000,aruco_005
364,435,57.0,512,265,152,241,0000000001100111110000010010010001011101011000000011111010001001100010101010101000100100101000001100000100110001110110111101010110100000000000001101000010001100010000111100000001011111010000101001000010001000011110011111010111111000010000100010100100010111,1000000001101111010100011011110001011101011000000001110111011000110010101011001000100100111000001101000100111011111110111001010010110110110000011001000000100110000011111000000000000111010000001011000000001000011110011101010010101010110100101010010101010001,aruco_000,aruco_005
756,524,57.0,505,512,369,129,1000100000101111100101001001110011001101001010000001110000001100110010101011111000100100011000101011000100110000110110111000011111100010100000110001010000001110110001001001011000101111010010001001010001011100011110000101100110101100010100100110010000000001,0000000001101111010101011011110001011101001010000001110110000000110010001010011000100100011000111001000100111110111110101011010110110010100010011001010000000110001010101001010000000101010000000011010001111000010110001011100110101000010100101010010110000011,aruco_000,aruco_005
868,499,57.0,215,562,473,312,1000100000111111110000001011110000001101001000010000110000010100100010001011101000000000101000110100000100110010110010111000011111000000000000011011010100000100100010011001000000100111010100011101000001111100011110010101001110101100010011100110000000000001,1000000000111111110000111011110001011101001000000001110010010000110010001011111001100000011000101000000100111110111110101001011110100000110010011011010100000110001010111000011000110111010000010011011001111000011110001101010110101010010000111010010100000001,aruco_000,aruco_005
941,81,57.0,446,446,524,329,0000010001111111010000000110110001001101001000000101100110000101111011001010011000100001010000001110000100110000001110110001010111110010010000100011010000001110110001100001001000001101000000001011010011100000010110011001100010001010110000101010010000000001,0000110001111111010101100011010001110101001010000111100111010100101011001110111000110110011000000100000100110100011110110001010111101010110000110011110100000010100011110001101010100101000000001011001001101000110110111011100110101010111010111010110100010001,aruco_000,aruco_005
107,130,58.0,145,82,136,224,0000000100101011010000110011000011110001001000010001110110000000001010000010001101000100010100011101000100100110010110011010000110110000100001011011010110000000001001110001000000010101001001000011111001100111010110001101010110101010010010111011000100010011,1100000110101011000100110011100011110101001100010001100110000000111010111011001011000101011011010101000000000111011110111011000010110010111001011111110010000000001001110111100000010101000000000011111001100001011100001001110100100000110110110110110101010011,aruco_000,aruco_005
454,360,58.0,62,310,386,73,0000000000110001010100000000010000001000001000000101001100010101100011001010001000000011100000011000000000100011110110100111000001100001110000001010010000100100000000011000000000001100011101000001000000000000010000001011000111101000010101111001000011010111,1000000000100000010000110001100001011100001000000101000100011000110010001010000001000000110000001001000000101011010110110011000000100010110010000010000000100100000000101010010000000110011001010011000000100010011000001011110010101010010101101100010111010011,aruco_000,aruco_005
1102,64,58.0,505,271,342,421,1111111000011011001100111011101000100101000001001001101001011111010101111110100001010011101010100110011100100111011000011100000111001010101010001010011101100110110110011011110001000011010100110100100000111010111001100111011001101101011111101110110001111111,1110000000010011011100111001101000100101000001001011000100110011010100001000100101000011101010111000011100101111011000100101100111100010111001000010011001100111000111101001110001000011010100110110100101101010111001000001011011100101011111111110110101101111,aruco_000,aruco_005
36,354,59.0,455,45,472,373,1100000010101111010001010010100001111011001110000101010010110000010000011001011000001000110100011101000000101011010110100000001110100010001001010011010000010000000001100011111000000111000001001011101001100100010000011011010000101001010110100011011110010011,1100000111111111100001010011101011111011000111000101010010100000111010011011011001000101010010011101010000111111010111110000001110100010101001011011110101100000000000010111101000100101000010010111101001010101001000011111000000101001010111110110011100010001,aruco_000,aruco_005
90,390,59.0,207,75,361,87,0000000001110110010000010011010101011000001000000011110100010000101010000010101000100000101000110000000100110000111110111001010000101000000000111001000000001100000010111000001010001101010001001011000010110000010010011011100110001000010000001011000111010011,1000000001101111110100010001110001011101001000000101010100010000110010101010001000010000101000111000000100111111011110111001010010100000100000010011000000000100000010101000010000000111010001010011000000101000011000001111100010101010010101101110010111010111,aruco_000,aruco_005
142,472,59.0,62,95,334,137,1100001010111111100101011011100001101101000011010000110010110000000000001011110000000000011100100100010100110010001110011000011111100010001001011001000100000000001011110101101000100111100000001111101001011100000000011101101100001011110010100010001110100101,1100001110011111110100111011101001111001000010010100110011001000111000001111110011000000111011010100010100111011010110010010010010000110101011011001000100000000001011110000111000100101001000011111111001011000000000001101001010101011010011101010010110000101,aruco_000,aruco_005
669,5,59.0,455,442,372,80,0000000001111111010000000111110000101101001101000100110010010000111010101111011000000000110000110100010100111010001010110000010111000010011011010001000000001000101001101001101000000101001000001001000001110000010110011011100010101010110010101110010100000011,1000000011101011010100110011000001110111000100000101010011011000111010101111011000000000100010111001010100111111011110110000011110100000111011011001000000100000001001101000101000110101001001000011101001010100000100001011110000101000110011111110010110010111,aruco_000,aruco_005
860,348,59.0,215,555,492,289,1100001000001111100000001011110011001001000001010001110010001000111000111111100000000000001001010100000100110010110110011000011111100000001001010011010110000000100010110001100000000111000000011011111001101101101100001101001100101001010110100110010101000001,1100001011011101000001011011101011011001011011010101110010001000111000111111100100010001110001111000000000111110010110001000001110100000101011011011011101100000001010110101110000100110000010011111111001111100001110011111100100101011010000100110111101100001,aruco_000,aruco_005
948,120,59.0,206,74,114,237,1000000001100111110110010100110101001011001000100011011100010001100010001010101000100100001000101100000100111010111100111101011111100101000100001011010100001110010110011010001100001001010001111011000010101000111010001111000100001000010100101010000111010111,0000000000100011110101111001110001011101001000000001010100011000110010101011101000000000001000111100000100111110011110101011010110100000100000010011010100100110000010111000000000000101010001010011000000101000011010001111000110101000010001101110010110010111,aruco_000,aruco_005
1052,47,59.0,309,505,377,192,0000010100101001111001010010110010111101110110001000101101000110011011111011010110011011111100000101010000101000001100010001000111011010110010110000110000111001110000000110010001000001000001000101110101100010000010001101000000101010110110110110110000011110,0000110010101010111001010010110011111101111110001110011001000111011011111011010100011010110101100001010100101001001100000100101111101000111110100000110000111111010000000101011001001011100000010001110111100100000010010001000000110000110110110111110100000011,aruco_000,aruco_005
410,227,60.0,145,290,361,448,1000000010101111110001110011100001111001001011000001110010100000010000011000010100011000100100011101000000101110010111000000001110100010001011010011010000010000001010100101111000110100100011011011101001001101000000010100000010101011010110110011011100000001,1000000011101011110000010011100011111011010000010101010111110000111010001010011010000000100000010001100000101111010110100010011110100110001101010111010001100000000010100000111000110110001011011011101001011111001000011110010110101011010110111110011110000101,aruco_000,aruco_005
877,523,60.0,512,567,186,236,1000000000111111110001110010100000001001001011000001010010010000100010001010011101110000001000010000000100111100110110101001011110100001000001111001110100001000000000110010000000011111000001111001000000000010011110001111000110101000010111100011010011010111,0000000000100111010001011011110001011101001010000001010010010000110010101011001001110100101000011001000100111111110111101001011010110110110000010001000100000000001010111011011000000111010001111011000000010010010110011101000010101000010001110010110110010011,aruco_000,aruco_005
1005,40,60.0,82,95,331,112,0000001001000001101000001111100000001111110010000001110011100010011110000010100111100101000000101101100101100110010111001000010111110100001101010110011111100010001110110100111000110110101010011001101000111110101110010100001101001100110000001011111100000000,0000001011001001111000011011100011011111010010010001010011100000111100000010110011010100100011111100100000101110010110001000011110010110001101010101011101100000001010100100111000110100001010011001111001011010000100010101011111101010010010101010110100000101,aruco_000,aruco_005
