Query Index,Train Index,Distance,Query X,Query Y,Train X,Train Y
2007,216,65.0,903,717,622,587
2038,1161,65.0,709,881,387,615
104,1636,66.0,1023,791,1682,251
175,1749,66.0,301,595,1316,266
231,47,66.0,305,594,1289,1366
273,1331,66.0,266,429,524,919
373,215,66.0,530,825,1020,1423
422,1087,66.0,608,368,1204,600
651,951,66.0,352,589,759,553
718,1593,66.0,769,434,966,332
1062,1783,66.0,848,481,549,552
1401,771,66.0,834,664,1212,389
1781,747,66.0,610,229,1378,368
1820,160,66.0,200,749,1077,393
57,225,67.0,1005,681,704,960
253,767,67.0,992,775,1304,340
269,1130,67.0,614,694,1211,1174
285,2031,67.0,664,807,598,631
378,1122,67.0,315,480,1296,1355
528,634,67.0,985,550,1574,822
659,98,67.0,342,718,832,1468
668,170,67.0,228,611,863,1485
867,565,67.0,920,744,1337,354
1093,1080,67.0,537,495,1027,1372
1336,441,67.0,289,537,493,629
1388,1997,67.0,223,467,408,631
2039,191,67.0,950,760,1208,594
76,207,68.0,371,580,827,1371
255,954,68.0,193,646,984,1403
337,1458,68.0,409,431,813,622
881,293,68.0,770,487,861,695
1014,45,68.0,840,487,1372,1482
1088,757,68.0,999,783,570,582
1108,48,68.0,658,235,1316,1482
1294,272,68.0,937,577,1275,1389
1571,265,68.0,829,761,1208,562
1863,525,68.0,714,881,628,929
2012,1760,68.0,606,247,672,697
2049,316,68.0,878,742,947,1475
37,991,69.0,672,596,625,917
179,245,69.0,680,615,1275,1381
198,243,69.0,602,257,1203,1220
1117,1366,69.0,683,674,1211,397
1297,1051,69.0,213,487,831,675
1346,974,69.0,812,372,860,552
1378,1219,69.0,683,669,425,665
1486,1364,69.0,270,603,826,1379
1763,1618,69.0,259,418,413,1257
1808,374,69.0,660,896,412,634
2050,1395,69.0,781,724,520,552
229,1722,70.0,480,828,724,921
381,1383,70.0,1030,781,489,676
493,1688,70.0,827,763,722,557
1075,729,70.0,380,579,1308,1363
1303,1315,70.0,838,762,1287,1353
1513,1520,70.0,946,746,415,674
1585,297,70.0,678,896,850,701
1629,469,70.0,490,595,827,1380
38,763,71.0,294,456,1314,368
249,451,71.0,218,441,721,757
453,344,71.0,1019,1004,775,1003
713,870,71.0,816,743,484,693
797,1837,71.0,270,426,696,555
1046,82,71.0,912,755,1337,1484
1732,205,71.0,951,744,448,578
25,99,72.0,1045,798,855,1468
418,235,72.0,498,495,411,1210
777,349,72.0,614,853,436,701
1340,929,72.0,817,617,533,932
1501,552,72.0,612,680,1318,1489
1850,277,72.0,185,857,822,1489
1963,687,72.0,383,584,439,1446
2036,1508,72.0,606,924,458,1443
2054,219,72.0,197,788,1297,1348
437,1224,73.0,1007,643,892,560
439,1643,73.0,744,589,473,565
769,357,73.0,816,617,522,826
1023,518,73.0,757,435,1297,1351
1528,1868,73.0,610,794,687,666
1530,1056,73.0,815,647,415,649
1840,103,73.0,899,403,538,702
1921,718,73.0,1033,905,1337,1484
2003,955,73.0,491,595,1292,1480
454,120,74.0,367,443,770,701
788,1199,74.0,84,116,1343,368
828,713,74.0,566,490,1369,367
1357,1096,74.0,575,382,1369,367
1511,319,74.0,344,462,419,1445
1576,428,74.0,838,763,1208,361
148,823,75.0,609,825,1198,1382
689,737,76.0,694,616,902,1489
1684,512,76.0,1015,759,944,1468
1768,417,76.0,214,468,1081,1414
1120,803,77.0,258,418,1211,504
1707,582,77.0,836,761,1280,1375
242,1866,80.0,403,469,532,666
1664,1256,80.0,570,351,449,696
220,490,81.0,739,585,618,582
1600,684,84.0,848,763,1046,1414
